detected_ring_id,member_count,members,relationship_edges,device_links,address_links,payment_links,network_density,avg_return_rate,total_return_value,known_abusive_members,relationship_score,ring_risk_score
DETECTED_010,5,"USER0131,USER0291,USER0472,USER1403,USER1992",10,10,6,3,1.0,0.9333333333333332,20995.72847948381,5,19,93.66666666666666
DETECTED_004,5,"USER0148,USER1113,USER1165,USER1662,USER1870",10,10,3,10,1.0,0.85,7303.6405079270035,5,23,90.75000000000001
DETECTED_017,5,"USER0111,USER0368,USER0421,USER0733,USER1379",10,10,10,6,1.0,0.7333333333333333,6256.289687704489,5,26,90.66666666666666
DETECTED_002,5,"USER0254,USER0635,USER0841,USER1537,USER1926",10,10,3,6,1.0,0.8333333333333334,17504.194404042755,5,19,90.16666666666667
DETECTED_016,5,"USER0605,USER0996,USER1135,USER1795,USER1874",10,10,6,0,1.0,1.0,8077.946705536235,5,16,90.0
DETECTED_007,4,"USER1635,USER1652,USER1791,USER1841",6,6,6,6,1.0,0.6875,6551.965804058,4,18,89.0625
DETECTED_011,3,"USER0829,USER0950,USER1739",3,3,1,1,1.0,1.0,4100.203913079682,3,5,86.66666666666667
DETECTED_006,4,"USER0256,USER0731,USER0929,USER1452",6,6,6,3,1.0,0.6875,5449.771707752945,4,15,86.56250000000001
DETECTED_013,3,"USER0970,USER1198,USER1713",3,3,3,3,1.0,0.611111111111111,11763.390201445645,3,9,86.38888888888889
DETECTED_003,5,"USER0047,USER0236,USER1041,USER1044,USER1999",10,10,10,3,1.0,0.7,12525.943020889468,5,23,85.5
DETECTED_008,3,"USER0315,USER0872,USER1655",3,3,3,0,1.0,0.8333333333333334,13170.73323248488,3,6,84.16666666666667
DETECTED_015,3,"USER1261,USER1569,USER1922",3,3,3,1,1.0,0.6666666666666666,6643.709038937236,3,7,81.66666666666667
DETECTED_001,5,"USER0230,USER0524,USER0845,USER1507,USER1899",10,10,10,1,1.0,0.6599999999999999,23136.137903573675,5,21,80.10000000000001
DETECTED_005,4,"USER0765,USER1095,USER1584,USER1813",6,6,6,3,1.0,0.5,11590.11735381576,4,15,80.0
DETECTED_009,3,"USER0200,USER0484,USER1435",3,3,1,1,1.0,0.6666666666666666,5774.234862462821,3,5,75.0
DETECTED_012,4,"USER0135,USER0719,USER1014,USER1743",6,6,1,1,1.0,0.7083333333333334,8409.561945672325,4,8,74.79166666666669
DETECTED_014,5,"USER0330,USER1300,USER1496,USER1689,USER1869",10,10,6,1,1.0,0.4666666666666666,12199.635208600972,5,17,73.33333333333333
DETECTED_018,3,"USER0441,USER0567,USER1687",3,3,1,0,1.0,0.6666666666666666,5272.635425420793,3,4,71.66666666666667
