source,target,relationship
CUSTOMER::USER0195,DEVICE::DEV_00001,device
CUSTOMER::USER0195,ADDRESS::ADDR_00001,address
CUSTOMER::USER0195,PAYMENT::PAY_00001,payment
CUSTOMER::USER0195,IP::10.23.197.167,ip
CUSTOMER::USER1469,DEVICE::DEV_00002,device
CUSTOMER::USER1469,ADDRESS::ADDR_00002,address
CUSTOMER::USER1469,PAYMENT::PAY_00002,payment
CUSTOMER::USER1469,IP::10.112.110.219,ip
CUSTOMER::USER1812,DEVICE::DEV_00003,device
CUSTOMER::USER1812,ADDRESS::ADDR_00003,address
CUSTOMER::USER1812,PAYMENT::PAY_00003,payment
CUSTOMER::USER1812,IP::10.22.178.52,ip
CUSTOMER::USER1274,DEVICE::DEV_00004,device
CUSTOMER::USER1274,ADDRESS::ADDR_00004,address
CUSTOMER::USER1274,PAYMENT::PAY_00004,payment
CUSTOMER::USER1274,IP::10.24.134.248,ip
CUSTOMER::USER0551,DEVICE::DEV_00005,device
CUSTOMER::USER0551,ADDRESS::ADDR_00005,address
CUSTOMER::USER0551,PAYMENT::PAY_00005,payment
CUSTOMER::USER0551,IP::10.187.194.183,ip
CUSTOMER::USER1533,DEVICE::DEV_00006,device
CUSTOMER::USER1533,ADDRESS::ADDR_00006,address
CUSTOMER::USER1533,PAYMENT::PAY_00006,payment
CUSTOMER::USER1533,IP::10.200.131.33,ip
CUSTOMER::USER0684,DEVICE::DEV_00007,device
CUSTOMER::USER0684,ADDRESS::ADDR_00007,address
CUSTOMER::USER0684,PAYMENT::PAY_00007,payment
CUSTOMER::USER0684,IP::10.214.115.128,ip
CUSTOMER::USER1428,DEVICE::DEV_00008,device
CUSTOMER::USER1428,ADDRESS::ADDR_00008,address
CUSTOMER::USER1428,PAYMENT::PAY_00008,payment
CUSTOMER::USER1428,IP::10.95.47.236,ip
CUSTOMER::USER0362,DEVICE::DEV_00009,device
CUSTOMER::USER0362,ADDRESS::ADDR_00009,address
CUSTOMER::USER0362,PAYMENT::PAY_00009,payment
CUSTOMER::USER0362,IP::10.199.164.103,ip
CUSTOMER::USER1831,DEVICE::DEV_00010,device
CUSTOMER::USER1831,ADDRESS::ADDR_00010,address
CUSTOMER::USER1831,PAYMENT::PAY_00010,payment
CUSTOMER::USER1831,IP::10.209.139.113,ip
CUSTOMER::USER1163,DEVICE::DEV_00011,device
CUSTOMER::USER1163,ADDRESS::ADDR_00011,address
CUSTOMER::USER1163,PAYMENT::PAY_00011,payment
CUSTOMER::USER1163,IP::10.115.58.24,ip
CUSTOMER::USER0576,DEVICE::DEV_00012,device
CUSTOMER::USER0576,ADDRESS::ADDR_00012,address
CUSTOMER::USER0576,PAYMENT::PAY_00012,payment
CUSTOMER::USER0576,IP::10.141.226.17,ip
CUSTOMER::USER1287,DEVICE::DEV_00013,device
CUSTOMER::USER1287,ADDRESS::ADDR_00013,address
CUSTOMER::USER1287,PAYMENT::PAY_00013,payment
CUSTOMER::USER1287,IP::10.219.211.71,ip
CUSTOMER::USER0436,DEVICE::DEV_00014,device
CUSTOMER::USER0436,ADDRESS::ADDR_00014,address
CUSTOMER::USER0436,PAYMENT::PAY_00014,payment
CUSTOMER::USER0436,IP::10.161.42.193,ip
CUSTOMER::USER1263,DEVICE::DEV_00015,device
CUSTOMER::USER1263,ADDRESS::ADDR_00015,address
CUSTOMER::USER1263,PAYMENT::PAY_00015,payment
CUSTOMER::USER1263,IP::10.178.91.18,ip
CUSTOMER::USER0527,DEVICE::DEV_00016,device
CUSTOMER::USER0527,ADDRESS::ADDR_00016,address
CUSTOMER::USER0527,PAYMENT::PAY_00016,payment
CUSTOMER::USER0527,IP::10.247.114.227,ip
CUSTOMER::USER0631,DEVICE::DEV_00017,device
CUSTOMER::USER0631,ADDRESS::ADDR_00017,address
CUSTOMER::USER0631,PAYMENT::PAY_00017,payment
CUSTOMER::USER0631,IP::10.173.198.194,ip
CUSTOMER::USER0293,DEVICE::DEV_00018,device
CUSTOMER::USER0293,ADDRESS::ADDR_00018,address
CUSTOMER::USER0293,PAYMENT::PAY_00018,payment
CUSTOMER::USER0293,IP::10.50.93.119,ip
CUSTOMER::USER1037,DEVICE::DEV_00019,device
CUSTOMER::USER1037,ADDRESS::ADDR_00019,address
CUSTOMER::USER1037,PAYMENT::PAY_00019,payment
CUSTOMER::USER1037,IP::10.127.12.139,ip
CUSTOMER::USER1388,DEVICE::DEV_00020,device
CUSTOMER::USER1388,ADDRESS::ADDR_00020,address
CUSTOMER::USER1388,PAYMENT::PAY_00020,payment
CUSTOMER::USER1388,IP::10.40.189.174,ip
CUSTOMER::USER0995,DEVICE::DEV_00021,device
CUSTOMER::USER0995,ADDRESS::ADDR_00021,address
CUSTOMER::USER0995,PAYMENT::PAY_00021,payment
CUSTOMER::USER0995,IP::10.235.190.94,ip
